#pos_x,pos_y,vertical,horizontal,magnitude
0,6,-26.39773978,33.23937636,42.44639921
0,5.5,-25.18352373,34.35916404,42.60002372
0,5,-23.68077931,35.5371096,42.70439634
0,4.5,-21.21261292,37.30795662,42.91687983
0,4,-24.43306456,35.91009373,43.43396684
0,3.5,-22.80648604,37.26921791,43.69359689
0,3,-24.88670563,35.91182086,43.69218459
0,2.5,-22.38433548,38.18910401,44.2658575
0,2,-22.13828611,38.53682482,44.44311622
0,1.5,-23.50160584,38.94487293,45.48657609
0,1,-23.61113805,39.21514895,45.77459718
0,0.5,-22.09733598,40.13606397,45.81698254
0,0,-20.93290816,40.3554979,45.46155359
0.5,0,-7.46390188,42.416002,43.06770318
0.5,0.5,-4.484650445,43.40356928,43.63464123
0.5,1,-7.056783946,43.23981826,43.81187148
0.5,1.5,-2.492721533,43.3234681,43.39512125
0.5,2,-5.139518055,43.12635362,43.43152106
0.5,2.5,-6.041160791,42.96447231,43.3871122
0.5,3,-6.831136381,42.74971449,43.29206062
0.5,3.5,-7.614528406,42.41081298,43.08895566
0.5,4,-8.9824074,42.12598787,43.07299034
0.5,4.5,-8.187498086,42.09196576,42.88086644
0.5,5,-7.840719533,41.09129861,41.83266313
0.5,5.5,-8.206431913,40.03883028,40.87118123
0.5,6,-7.007288429,39.49856539,40.11531825
1,6,-21.72235741,34.50527801,40.77345977
1,5.5,-21.77428228,36.0051278,42.07717429
1,5,-21.30433427,37.68163744,43.28718585
1,4.5,-19.50540491,40.04313875,44.54114706
1,4,-22.86201333,38.45947402,44.74151088
1,3.5,-21.21255597,40.16037316,45.41836746
1,3,-21.93992526,39.78079916,45.42986135
1,2.5,-19.14424934,40.62014489,44.90543902
1,2,-17.35713377,41.46122195,44.94778101
1,1.5,-18.10026935,40.61217041,44.46310983
1,1,-20.25805002,39.15630023,44.08632938
1,0.5,-18.81969716,39.99294359,44.19973459
1,0,-20.4105044,39.06267422,44.07358855
1.5,0,-1.732478174,41.6091643,41.64521623
1.5,0.5,-7.225981254,41.04874352,41.67990103
1.5,1,-1.070658077,42.41957787,42.43308727
1.5,1.5,-4.025541442,42.9804714,43.16857544
1.5,2,-5.407181226,42.91463358,43.25394068
1.5,2.5,-1.972806928,43.80434484,43.84874678
1.5,3,-4.498866636,44.03475652,44.26397613
1.5,3.5,-7.847515007,44.03151216,44.72535696
1.5,4,-2.149434479,44.17502038,44.22728223
1.5,4.5,-6.499064228,43.00853041,43.49679901
1.5,5,-2.16314264,42.63282724,42.6876697
1.5,5.5,-4.768603019,40.70982539,40.98816242
1.5,6,-3.817306549,38.86980142,39.05679572
2,6,-22.58616847,33.99371555,40.8130825
2,5.5,-19.56032738,38.33260538,43.03481198
2,5,-20.24493728,39.3822364,44.28112498
2,4.5,-19.28451136,41.3834792,45.65615762
2,4,-20.54586703,41.35834808,46.18057609
2,3.5,-18.86060769,42.67577105,46.65773202
2,3,-17.60593659,42.78514663,46.26594617
2,2.5,-16.42485449,43.04781191,46.07482995
2,2,-15.88331533,42.11037072,45.00625543
2,1.5,-16.88356962,41.67034499,44.96078931
2,1,-16.73037748,40.87200927,44.16363518
2,0.5,-15.17488235,40.73199939,43.46691649
2,0,-20.53577736,38.04457322,43.23317827
2.5,0,-3.626856896,42.01995505,42.17618657
2.5,0.5,-8.465067849,42.06229095,42.90563709
2.5,1,-4.213638177,42.65306216,42.86068663
2.5,1.5,-6.691445325,42.95495039,43.47301695
2.5,2,-6.367792111,43.69589241,44.1574432
2.5,2.5,-7.531569597,44.36749765,45.00221537
2.5,3,-4.728183756,45.3755067,45.62118291
2.5,3.5,-5.916246249,44.73708222,45.12658303
2.5,4,-5.285416106,44.88351291,45.19364285
2.5,4.5,-1.719989862,44.15319035,44.18667879
2.5,5,-2.997466696,43.10111752,43.20522119
2.5,5.5,-1.278301721,41.68366559,41.70326165
2.5,6,-3.56954375,40.20290429,40.3610599
3,6,-25.54152485,34.19743959,42.6829517
3,5.5,-23.02859156,38.19131391,44.59700088
3,5,-23.31962196,39.06213559,45.49346332
3,4.5,-24.71535395,38.89946972,46.08706397
3,4,-26.93068324,39.03297005,47.42187734
3,3.5,-23.17685899,41.28748378,47.34789446
3,3,-22.3177883,41.63752412,47.2415822
3,2.5,-20.30305087,42.08553728,46.72693359
3,2,-17.28707386,42.4881319,45.8702984
3,1.5,-19.67635815,41.00753783,45.48381282
3,1,-20.87457238,39.9022302,45.03260759
3,0.5,-16.26531766,41.0069867,44.11500331
3,0,-19.59750513,38.47970393,43.18274912
3.5,0,-2.922732812,41.00237903,41.1064162
3.5,0.5,-8.419040671,40.96554569,41.82171899
3.5,1,-4.562809486,41.90766482,42.15532708
3.5,1.5,-9.591917402,42.5046906,43.57354246
3.5,2,-4.065718978,43.91321978,44.10103108
3.5,2.5,-4.112704564,44.80654,44.99489266
3.5,3.5,-16.38998874,42.43839098,45.49339249
3.5,4,-14.89815947,42.54715608,45.08010256
3.5,4.5,-11.04816871,43.35909162,44.74452881
3.5,5,-6.546668905,44.0071877,44.49147607
3.5,5.5,-7.566252197,41.94279883,42.61979054
3.5,6,-7.733336164,40.57724273,41.30759151
4,6,-26.22483936,34.56227375,43.38540038
4,5.5,-23.83977352,38.29793665,45.11171415
4,5,-23.13217591,38.71190319,45.09666296
4,4.5,-23.31441219,40.17495607,46.44985372
4,4,-26.90275067,37.48449147,46.13940934
4,3.5,-24.02801989,38.80106145,45.6384499
4,2,-22.64866938,38.7754029,44.90539049
4,1.5,-21.01168595,39.70597526,44.9227717
4,1,-21.48139847,38.41621118,44.0142677
4,0.5,-19.60094077,38.74233223,43.41848898
4,0,-19.80758026,36.90736466,41.8866781
4.5,0,-4.660420349,38.93329182,39.21123219
4.5,0.5,-3.774748309,40.53458337,40.70996406
4.5,1,-2.693534287,41.66799298,41.75496097
4.5,1.5,-4.018059934,42.42702089,42.61686177
4.5,2,-4.901879295,42.77848615,43.05841727
4.5,2.5,-8.736154174,41.6233296,42.53024756
4.5,3,-12.34615118,42.35825429,44.12084718
4.5,3.5,-12.38634119,42.01437405,43.80215834
4.5,4,-10.83422811,42.36608885,43.72946356
4.5,4.5,-7.333349967,42.77626717,43.40031169
4.5,5,-7.283644495,42.45663021,43.07687228
4.5,5.5,-8.34960403,41.5987334,42.42841628
4.5,6,-6.836288989,41.414443,41.97488459
5,6,-27.57279004,34.01455211,43.78639635
5,5.5,-24.25634268,37.03975224,44.27542666
5,5,-23.98970012,37.63593153,44.63148052
5,4.5,-22.80090216,39.28150928,45.41935833
5,4,-27.50691589,35.33981927,44.78318041
5,3.5,-24.59756239,38.43023228,45.62809253
5,3,-24.5454063,37.134431,44.51340176
5,2.5,-23.40680213,37.96619433,44.60168492
5,2,-22.47984398,38.81956683,44.85869095
5,1.5,-22.51425543,38.01354221,44.18055102
5,1,-21.39458275,37.18006687,42.89621829
