#pos_x,pos_y,vertical,horizontal,magnitude
20,6,-6.809111886,43.90828728,44.43311487
19.5,6,-7.715197685,43.92119987,44.5936775
19,6,-5.339114068,43.5333067,43.85949078
18.5,6,-6.451209688,43.32738774,43.80502979
18,6,-4.999740156,44.25680238,44.53832012
17.5,6,-3.911913636,43.78936947,43.96375719
17,6,-3.591637804,43.71450595,43.86180448
16.5,6,-1.174137502,42.81718756,42.8332832
16,6,-3.566841777,41.38155858,41.53499429
15.5,6,-0.655552024,40.96102783,40.96627332
15,6,-0.344607271,40.46510287,40.46657021
14.5,6,4.093624312,40.30070907,40.50808452
14,6,0.257599122,39.75308008,39.75391469
13.5,6,1.646850939,39.00867107,39.0434186
13,6,1.287624937,39.48768297,39.50867101
12.5,6,0.287134702,39.9519435,39.95297531
12,6,0.440922503,40.07527948,40.077705
11.5,6,1.268816787,40.3628795,40.38281736
11,6,-0.309509521,40.81269431,40.8138679
10.5,6,-1.764193032,41.00396017,41.04189477
10,6,0.402382385,41.71077094,41.71271178
9.5,6,-0.785110149,41.65540276,41.66280088
9,6,1.124650213,42.58677634,42.60162388
8.5,6,0.898135633,41.80937243,41.81901805
8,6,0.737727019,41.62582253,41.63235931
7.5,6,2.266179675,41.80247307,41.86385464
7,6,3.554027624,42.14450896,42.29409826
6.5,6,5.741669975,43.12780385,43.50832379
6,6,5.882420142,43.43197218,43.82851896
5.5,6,7.42445478,42.82870707,43.46746689
5,6,7.10695607,42.71546934,43.30265749
4.5,6,2.705164637,43.31597603,43.40036515
4,6,4.394998588,43.38033307,43.60240028
3.5,6,6.0494885,43.64973648,44.06694687
3,6,5.705523088,42.48531165,42.86670852
2.5,6,3.421775191,42.13848283,42.27718392
2,6,7.435645497,41.25669815,41.92140224
1.5,6,4.98893313,41.31826999,41.61837201
1,6,6.997306482,41.22435185,41.81398669
0.5,6,5.988441101,41.13250947,41.56614924
0,6,4.920502224,42.06655487,42.35335147
0,5.5,-32.98455702,27.08118964,42.67753313
0.5,5.5,-31.65774809,29.85532535,43.51497979
1,5.5,-30.26423281,29.87288281,42.52426266
1.5,5.5,-29.74426167,31.73374521,43.49427189
2,5.5,-29.94586858,31.95355816,43.79252133
2.5,5.5,-29.29425016,33.48414293,44.48978445
3,5.5,-28.37720371,35.33554084,45.31959992
3.5,5.5,-29.05088782,35.53363527,45.89763958
4,5.5,-29.45556444,33.91310556,44.91913852
4.5,5.5,-27.42526476,34.55602504,44.11648234
5,5.5,-30.33703843,32.47601141,44.44127831
5.5,5.5,-30.00804667,33.6332136,45.07411587
6,5.5,-30.69909078,33.86594279,45.70925788
6.5,5.5,-29.76551434,33.88636296,45.10289834
7,5.5,-30.45713213,32.50949179,44.54777159
7.5,5.5,-29.66811044,32.15372151,43.74995524
8,5.5,-27.66527318,32.25242341,42.49218935
8.5,5.5,-28.32174655,32.64189109,43.21590427
9,5.5,-29.11607005,32.00210763,43.26523348
9.5,5.5,-28.57317807,32.12167726,42.99102994
10,5.5,-28.11242669,32.63201141,43.07153008
10.5,5.5,-26.79104794,33.09241136,42.57778692
11,5.5,-27.61204468,30.93552188,41.46602857
11.5,5.5,-26.82767896,31.57457795,41.43281708
12,5.5,-27.89429001,30.97944305,41.68713599
12.5,5.5,-25.6383117,32.12548935,41.10194756
13,5.5,-29.13460934,29.39733168,41.38874933
13.5,5.5,-29.03333153,30.0791814,41.8054003
14,5.5,-28.13053297,31.10509266,41.93868947
14.5,5.5,-28.78156817,31.04947293,42.33731729
15,5.5,-30.13044607,30.57136021,42.92379113
15.5,5.5,-29.56455569,31.50223865,43.2024767
16,5.5,-29.56285323,32.53041976,43.95668892
16.5,5.5,-29.21529642,33.7412098,44.6318584
17,5.5,-30.15033616,32.90260215,44.62761475
17.5,5.5,-32.35485939,31.62006564,45.24008706
18,5.5,-30.59371219,32.6619379,44.7524012
18.5,5.5,-29.69541122,32.84002382,44.27510149
19,5.5,-29.23471673,32.7949309,43.93377009
19.5,5.5,-28.51539436,32.60773195,43.31733947
20,5.5,-27.51689617,31.90323081,42.13069797
20,5,7.281756888,40.99127221,41.63302032
19.5,5,-1.542615498,43.11849453,43.14608016
19,5,1.446252991,43.97754515,44.00131959
18.5,5,2.491030383,44.08466177,44.15498427
18,5,-0.795013103,44.1309824,44.13814285
17.5,5,0.538587427,45.05947022,45.06268892
17,5,3.61707702,45.59527868,45.73852516
16.5,5,3.002607901,45.48063326,45.57964081
16,5,6.70519638,45.12771239,45.62313102
15.5,5,4.349780058,44.57652387,44.78824698
15,5,5.492302194,44.82636996,45.16158575
14.5,5,5.370867016,43.6291584,43.95849947
14,5,5.90681622,43.31492775,43.71582601
13.5,5,4.57244653,42.36219126,42.60824469
13,5,4.126513226,42.49109771,42.69100017
12.5,5,3.452370301,41.96901637,42.11077291
12,5,4.259776579,42.22740823,42.44172124
11.5,5,5.737518727,41.59887212,41.9926813
11,5,5.324518796,43.06378745,43.39170762
10.5,5,3.839083548,43.39687954,43.56635992
10,5,1.983277985,44.16699342,44.21149963
9.5,5,4.825933332,44.50865194,44.76951786
9,5,4.92295448,44.1923927,44.46575146
8.5,5,0.924076362,44.75649233,44.7660309
8,5,-0.3074647,45.27049406,45.27153816
7.5,5,2.3517326,45.06892356,45.13023949
7,5,1.940337454,46.20489569,46.2456192
6.5,5,5.235953568,46.09150131,46.38794782
6,5,5.545568161,45.97786607,46.31109473
5.5,5,7.992918736,44.6825455,45.39181229
5,5,7.454439838,44.18132511,44.80578268
4.5,5,9.537981135,45.1032132,46.10068248
4,5,11.71253293,44.52741947,46.042095
3.5,5,12.63172164,44.3404277,46.1045976
3,5,13.2145543,43.97628365,45.91881934
2.5,5,13.79521916,43.50296983,45.63788399
2,5,14.4659403,42.83465113,45.21140084
1.5,5,17.42340204,41.23225414,44.76241415
1,5,17.65738822,40.73199344,44.39457904
0.5,5,18.40982135,40.26609753,44.2750509
0,5,15.19234284,40.92897272,43.6576235
0,4.5,-32.15372405,29.52087172,43.65024442
0.5,4.5,-33.05110924,30.4243626,44.92235147
1,4.5,-31.76206971,31.90632334,45.02046803
1.5,4.5,-31.77678359,32.19971709,45.23920596
2,4.5,-31.30625079,34.77779747,46.79291116
2.5,4.5,-32.11754396,34.77272128,47.33580859
3,4.5,-32.06129486,35.04443999,47.49778313
3.5,4.5,-31.56584659,34.17283931,46.52080844
4,4.5,-32.27919597,32.98656367,46.1525717
4.5,4.5,-30.81486785,33.86711434,45.78796255
5,4.5,-30.57725351,34.37539644,46.00691592
5.5,4.5,-30.99464408,33.97348154,45.98766584
6,4.5,-30.73090381,34.41849369,46.14131724
6.5,4.5,-32.01265747,33.8470913,46.58793651
7,4.5,-30.45179433,35.06561086,46.44253269
7.5,4.5,-29.1456487,35.67880189,46.07000914
8,4.5,-28.93559967,35.23067843,45.59023613
8.5,4.5,-29.32659909,34.80758798,45.51502603
9,4.5,-30.22109622,34.95872207,46.21067956
9.5,4.5,-29.76094777,35.0187743,45.95681197
10,4.5,-27.31534175,35.95622505,45.15504418
10.5,4.5,-27.95754095,34.33015018,44.27395744
11,4.5,-29.97485002,32.17292566,43.97259123
11.5,4.5,-27.53038618,31.70805833,41.99194121
12,4.5,-29.28422546,31.05523755,42.68481745
12.5,4.5,-26.55727195,32.02277192,41.60224291
13,4.5,-27.5165241,33.26153317,43.16814436
13.5,4.5,-28.4094898,34.41140189,44.62335365
14,4.5,-29.7370037,33.38726936,44.71016824
14.5,4.5,-30.22417987,34.85797196,46.13652846
15,4.5,-29.14177599,35.78715898,46.15153145
15.5,4.5,-26.56437745,36.44364911,45.09773509
16,4.5,-28.34988972,34.60392077,44.73418804
16.5,4.5,-29.02304529,34.62331997,45.17866138
17,4.5,-30.02970035,34.34440983,45.62150139
17.5,4.5,-31.74934163,32.03629992,45.1037161
18,4.5,-30.24167719,32.84333428,44.64575731
18.5,4.5,-29.90208439,32.28506002,44.00522413
19,4.5,-28.62909263,32.55527771,43.3528667
19.5,4.5,-27.44095654,32.60331607,42.614344
20,4.5,-27.22980159,31.39589393,41.55916566
20,4,-5.690749056,40.60838099,41.00518542
19.5,4,-9.551346395,41.10440874,42.19953359
19,4,-5.69276748,42.91453569,43.29047211
18.5,4,-7.925036445,43.12407014,43.84622707
18,4,-5.419164098,43.3873497,43.72447203
17.5,4,-6.715479868,43.59831761,44.11248087
17,4,-7.917738097,43.20680682,43.92628748
16.5,4,-8.675837645,44.16063009,45.00479317
16,4,-6.388352145,44.95421561,45.40586464
15.5,4,-6.542856537,45.11121972,45.58323284
15,4,-3.974403966,45.79629592,45.96843055
14.5,4,-4.987130975,46.71158119,46.9770507
14,4,-0.426314107,45.73694838,45.73893517
13.5,4,0.643374294,44.85901366,44.86362711
13,4,-1.39683345,42.86984853,42.89259909
12.5,4,-2.495176382,42.0084069,42.08244474
12,4,-4.738682902,42.20358721,42.46878724
11.5,4,-3.557607323,43.69418332,43.83877537
11,4,-4.016367539,44.08731823,44.26988634
10.5,4,-4.637604967,45.16387851,45.40135793
10,4,-3.296443558,45.4963644,45.61563015
9.5,4,-2.8843437,45.93707298,46.02753646
9,4,-2.482291338,46.28500211,46.35151767
8.5,4,-0.211339982,46.47361829,46.47409882
8,4,-12.27175512,44.79645802,46.44694419
7.5,4,-22.88049092,40.33699873,46.37445775
7,4,-15.03176366,44.18324717,46.67026086
6.5,4,-13.31545096,44.26657574,46.22586897
6,4,-10.71849264,44.80650788,46.0706982
5.5,4,-10.88983915,44.23943732,45.56003085
5,4,-10.99347507,43.76917647,45.12867495
4.5,4,-9.517651803,44.55451697,45.55974844
4,4,-7.030339738,46.01746677,46.55140089
3.5,4,-5.926812805,46.06435021,46.44406819
3,4,-4.967877011,46.67272712,46.93637458
3.5,4,-4.683748017,46.94448364,47.17755864
2,4,-6.170915002,46.66514355,47.07139061
1.5,4,-5.258255117,45.39679374,45.70030775
1,4,-5.803373064,44.8732965,45.2470096
0.5,4,-7.373736698,44.00808905,44.62156311
0,4,-8.967296513,42.36472397,43.30337451
0,3.5,-34.03834317,30.05142878,45.40591566
0.5,3.5,-34.96034053,31.42230078,47.00623785
1,3.5,-34.43448202,31.43158193,46.62271865
1.5,3.5,-34.7970614,32.33206204,47.49944965
2,3.5,-32.8801,34.98597618,48.0116601
2.5,3.5,-34.7723273,34.10146116,48.70343314
3,3.5,-34.52529803,34.01481696,48.46652429
3.5,3.5,-31.53314513,35.49987496,47.48242163
4,3.5,-34.07587083,32.90071775,47.3668893
4.5,3.5,-32.52423405,33.16503093,46.45153471
5,3.5,-33.15701983,32.77469604,46.62154721
5.5,3.5,-32.47309986,33.30664032,46.51703456
6,3.5,-33.59620143,31.46913097,46.03271613
6.5,3.5,-33.92741036,31.88141373,46.55634989
7,3.5,-33.2467302,32.53204534,46.51536352
7.5,3.5,-34.61826387,32.19263122,47.27356237
8,3.5,-33.81182882,31.78175441,46.40387572
8.5,3.5,-32.72259808,32.53759647,46.14611153
9,3.5,-33.83857711,32.33172555,46.80160016
9.5,3.5,-33.23133677,32.94709039,46.79564626
10,3.5,-33.21852671,32.40547174,46.40673567
10.5,3.5,-32.88022743,31.60092807,45.60403503
11,3.5,-30.58632936,31.69446424,44.0461418
11.5,3.5,-30.03819377,31.18243259,43.29708058
12,3.5,-25.62990168,32.65125801,41.50899312
12.5,3.5,-27.13363825,32.27679839,42.16664605
13,3.5,-26.02458412,34.89485576,43.53079298
13.5,3.5,-30.13187986,33.57476902,45.11313887
14,3.5,-30.4002196,34.94372843,46.31670874
14.5,3.5,-30.79520205,35.77739894,47.20557959
15,3.5,-29.38476456,36.20232649,46.62695392
15.5,3.5,-27.54581597,36.55537058,45.77190291
16,3.5,-25.25806118,36.43718283,44.33551564
16.5,3.5,-27.295342,33.57303802,43.26874827
17,3.5,-28.36554808,33.50655108,43.90094854
17.5,3.5,-26.71771871,35.15906527,44.15876316
18,3.5,-26.66772872,35.55059439,44.44111291
18.5,3.5,-25.96468793,36.44531442,44.74847441
